,player_name,Position,date,overall_rating,potential,preferred_foot,attacking_work_rate,defensive_work_rate,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes
40,Adem Ljajic,MF,2010-02-22 0:00,69,81,right,medium,low,65,49,48,79,67,84,70,60,69,76,72,71,77,51,64,75,61,58,40,59,35,41,60,76,82,22,22,11,2,22,69,22,22
48,Adnan Januzaj,MF,2013-04-26 0:00,60,80,right,medium,medium,58,52,22,65,61,68,60,57,58,68,66,68,57,54,62,47,59,34,27,62,27,17,45,62,59,19,20,21,14,9,10,11,6
69,Ander Herrera,MF,2014-09-18 0:00,79,84,right,high,medium,60,61,38,88,60,83,72,70,81,87,78,75,84,81,78,64,63,68,59,62,77,66,80,85,57,47,60,48,9,12,15,9,8
105,Anders Lindegaard,GK,2010-08-30 0:00,70,75,right,medium,medium,8,5,16,18,12,6,10,7,27,34,47,62,72,43,50,27,66,64,68,8,33,22,18,51,22,13,14,8,70,71,69,69,74
118,Anderson,MF,2007-08-30 0:00,82,89,left,medium,medium,73,70,51,85,70,87,81,74,78,86,86,81,74,77,80,85,70,82,70,84,54,73,78,82,81,23,36,67,9,22,78,22,22
165,Angel Di Maria,MF,2015-03-13 0:00,86,86,left,high,medium,91,75,53,82,77,88,83,72,81,86,90,90,90,80,79,88,72,79,64,79,76,47,84,83,73,37,63,61,10,7,11,12,11
175,Anthony Martial,FW,2016-02-11 0:00,79,86,right,high,low,67,81,72,72,74,84,69,54,55,81,88,87,82,81,78,78,81,74,77,68,57,42,81,62,71,21,18,17,9,8,8,15,11
222,Antonio Valencia,DF,2010-02-22 0:00,82,84,right,high,medium,86,75,61,72,67,86,75,68,61,84,91,88,82,83,84,84,63,81,78,81,78,71,71,82,77,45,53,44,15,22,61,22,22
235,Ashley Young,DF,2011-02-22 0:00,82,86,right,high,medium,88,74,40,70,74,88,83,84,68,85,92,91,83,73,62,79,47,72,48,76,41,28,73,76,75,20,30,44,15,9,14,15,14
276,Bastian Schweinsteiger,MF,2015-09-21 0:00,86,86,right,high,high,79,76,79,87,82,79,82,78,87,83,51,53,73,89,61,84,83,76,78,81,80,86,80,86,83,68,78,76,14,14,13,13,11
301,Bebe,FW,2011-02-22 0:00,63,72,right,medium,low,45,61,66,64,62,70,64,47,52,67,75,78,68,59,52,70,64,34,64,46,54,22,50,51,50,17,22,19,14,6,7,6,10
332,Ben Amos,GK,2008-08-30 0:00,57,75,right,medium,medium,23,23,23,23,7,23,7,3,57,23,45,45,54,38,34,23,57,31,32,23,27,23,24,21,25,23,21,23,63,51,57,54,62
358,Ben Foster,GK,2007-08-30 0:00,78,84,left,medium,medium,21,21,21,32,8,21,14,16,65,25,53,53,45,63,60,26,70,70,66,21,54,58,68,50,72,21,34,8,82,78,65,72,82
362,Cameron Borthwick-Jackson,DF,2016-02-11 0:00,67,79,left,medium,medium,73,34,65,69,39,64,74,37,62,65,74,72,56,55,62,45,73,68,64,35,57,62,43,50,46,63,74,69,6,11,8,11,9
370,Carlos Tevez,FW,2007-02-22 0:00,87,90,right,high,high,70,84,38,83,88,83,77,83,68,86,89,88,81,88,91,89,72,88,88,85,72,72,83,82,83,61,66,34,11,12,68,12,8
420,Chris Eagles,MF,2007-08-30 0:00,69,80,right,medium,medium,67,62,43,62,61,69,62,61,59,67,76,76,76,67,64,66,57,77,68,65,62,55,55,71,60,35,45,27,13,21,59,21,21
464,Chris Smalling,DF,2011-02-22 0:00,77,86,right,medium,medium,54,23,78,72,43,50,25,46,65,64,74,75,66,77,79,71,85,78,80,35,77,78,40,61,52,76,79,77,9,14,15,14,14
470,Craig Cathcart,DF,2008-08-30 0:00,65,78,right,low,medium,38,23,67,51,29,30,38,38,26,59,60,65,57,66,54,38,68,64,57,35,64,58,53,48,58,64,70,74,4,20,26,20,20
513,Cristiano Ronaldo,MF,2007-08-30 0:00,91,94,right,high,low,88,85,84,81,85,97,88,88,73,95,95,94,94,86,84,90,91,91,84,75,61,69,74,80,79,27,27,23,9,21,73,21,21
536,Daley Blind,DF,2015-02-13 0:00,79,83,left,medium,high,62,41,66,82,60,72,64,54,75,79,68,64,73,83,72,67,66,92,73,63,73,79,67,74,55,68,79,76,11,8,9,13,9
562,Danny Drinkwater,MF,2009-02-22 0:00,58,75,right,high,medium,45,41,53,70,54,50,65,42,61,64,64,68,68,54,65,63,56,72,42,54,41,36,53,67,57,26,28,48,5,21,61,21,21
587,Danny Simpson,DF,2008-08-30 0:00,70,75,right,medium,medium,72,26,69,57,49,53,43,31,62,61,84,80,60,71,60,36,69,81,66,43,72,59,66,53,54,69,70,79,12,22,62,22,22
612,Danny Welbeck,FW,2007-02-22 0:00,64,87,right,medium,medium,52,65,49,50,69,76,57,65,39,70,83,79,77,51,61,61,64,51,52,52,39,41,42,57,58,21,22,18,3,21,39,21,21
655,Darren Fletcher,MF,2007-08-30 0:00,74,79,right,medium,high,73,59,69,78,64,62,59,46,71,74,73,73,61,76,76,63,84,89,68,59,66,75,79,80,72,78,72,77,9,22,71,22,22
665,Darron Gibson,MF,2007-02-22 0:00,63,75,right,medium,medium,52,53,44,69,65,59,60,44,58,68,63,64,64,62,74,85,72,80,64,79,48,41,52,76,42,40,57,67,7,22,58,22,22
679,David De Gea,GK,2011-02-22 0:00,80,85,right,medium,medium,17,13,14,21,13,13,15,19,39,22,51,55,57,73,62,54,69,40,68,12,38,23,18,44,21,13,12,13,79,87,85,74,82
712,Dimitar Berbatov,FW,2009-02-22 0:00,86,87,right,low,low,75,92,87,89,91,82,74,70,61,90,77,78,78,85,79,87,85,61,81,77,60,77,86,86,93,22,24,18,7,22,61,22,22
727,Edwin van der Sar,GK,2007-02-22 0:00,87,89,right,y,es,14,12,12,47,12,13,12,88,85,32,57,61,57,76,51,39,60,73,76,11,77,78,64,40,88,1,13,11,85,91,85,94,81
744,Ezekiel Fryers,DF,2012-02-22 0:00,56,74,left,medium,medium,58,34,47,47,31,63,46,34,41,56,76,71,62,58,62,28,58,55,48,30,61,56,42,38,42,51,58,57,6,13,13,5,10
773,Fabio,DF,2009-02-22 0:00,70,87,right,medium,medium,74,53,49,65,65,75,56,70,54,74,75,78,79,68,42,72,59,74,39,67,65,52,58,72,66,72,69,76,7,22,54,22,22
836,Federico Macheda,FW,2007-02-22 0:00,60,70,right,medium,low,34,68,54,39,77,59,70,50,24,62,78,74,74,59,67,60,72,47,41,49,35,29,38,63,45,21,21,11,2,21,24,21,21
859,Fraizer Campbell,FW,2007-02-22 0:00,74,78,right,high,low,55,78,67,59,75,71,42,58,31,69,90,87,75,78,58,71,62,69,64,59,49,43,67,60,59,22,22,30,12,22,31,22,22
873,Frederic Veseli,DF,2013-02-22 0:00,62,71,right,medium,medium,22,25,56,47,25,26,39,34,25,56,68,68,58,49,64,23,62,60,72,25,62,57,22,33,44,66,65,65,10,12,9,14,14
901,Gabriel Heinze,DF,2007-08-30 0:00,78,83,left,medium,medium,68,22,84,71,54,57,67,31,55,73,68,69,58,73,80,52,76,73,75,25,84,81,84,71,77,82,83,86,13,22,55,22,22
911,Gabriel Obertan,MF,2010-02-22 0:00,76,83,right,medium,medium,76,62,44,75,59,80,52,38,61,78,86,84,79,74,67,73,58,70,61,53,71,66,61,74,65,43,36,24,7,20,61,20,20
936,Gary Neville,DF,2007-02-22 0:00,81,82,right,,_0,69,35,85,62,55,64,56,75,67,74,78,82,51,76,67,47,70,90,79,48,85,88,87,70,75,84,88,83,7,9,67,13,12
953,Gary Woods,GK,2009-08-30 0:00,53,70,right,medium,medium,21,21,21,21,5,21,4,7,54,21,35,40,54,59,72,21,76,57,41,21,23,15,12,22,21,21,21,6,63,52,54,41,52
960,Gerard Pique,DF,2008-08-30 0:00,77,88,right,high,medium,59,38,85,69,57,40,43,43,67,68,70,75,59,72,79,50,81,76,79,42,74,69,72,77,69,76,79,89,5,25,67,25,25
985,Guillermo Varela,DF,2014-01-31 0:00,60,64,right,medium,high,41,29,59,42,37,68,39,42,39,40,63,50,55,57,47,36,70,62,55,29,62,59,45,40,45,65,75,75,12,8,14,14,13
991,James Chester,DF,2008-08-30 0:00,57,70,right,medium,medium,53,32,38,54,26,38,46,43,52,48,50,55,44,48,73,35,77,62,61,30,61,45,45,43,48,65,57,64,1,21,52,21,21
1026,James Wilson,FW,2014-02-28 0:00,58,62,left,medium,medium,44,62,56,58,43,60,45,41,49,59,79,78,57,55,69,45,63,70,65,49,31,21,59,57,66,25,22,23,8,14,13,7,15
1043,Javier Hernandez,FW,2010-08-30 0:00,79,87,right,medium,medium,65,83,79,69,73,75,69,52,58,79,85,85,81,83,66,76,83,71,70,70,59,49,83,75,70,22,29,19,14,12,9,12,11
1078,Jesse Lingard,MF,2013-02-15 0:00,63,72,right,medium,high,52,62,50,69,43,63,51,53,64,66,75,68,72,61,79,52,58,51,56,47,44,29,57,66,62,28,31,24,13,9,7,12,8
1094,Ji-Sung Park,MF,2007-08-30 0:00,77,80,right,high,high,70,63,43,75,77,78,65,53,58,77,80,78,79,76,80,74,44,88,49,54,48,71,72,75,69,51,50,51,10,24,58,24,24
1104,John O'Shea,DF,2007-02-22 0:00,80,82,right,medium,high,65,35,85,65,63,68,62,75,59,70,78,82,53,72,81,47,85,90,80,60,81,80,72,72,75,74,81,80,6,12,59,7,9
1150,Jonny Evans,DF,2008-08-30 0:00,73,78,right,low,medium,59,27,72,60,45,38,31,24,53,59,60,64,50,70,65,41,81,76,72,24,80,63,65,64,55,73,79,80,7,22,53,22,22
1169,Joshua King,FW,2010-02-22 0:00,65,78,right,high,medium,57,67,51,53,64,69,48,31,36,73,76,73,82,51,71,73,62,59,65,53,23,43,47,63,68,21,23,18,1,21,36,21,21
1192,Juan Mata,MF,2014-01-31 0:00,87,88,left,medium,medium,83,79,66,87,71,86,82,81,78,89,85,73,90,88,89,74,72,79,52,72,52,39,87,89,71,25,22,25,9,10,14,5,8
1226,Lee Martin,MF,2008-02-22 0:00,68,82,left,medium,medium,72,55,44,61,58,75,59,42,47,67,78,67,74,62,36,55,64,56,57,55,44,55,57,62,59,32,45,25,14,22,47,22,22
1242,Louis Saha,FW,2007-08-30 0:00,82,85,left,medium,medium,62,81,85,66,79,82,75,60,51,81,92,90,85,82,78,81,86,72,74,70,59,64,80,77,78,38,41,42,5,21,51,21,21
1261,Luke Shaw,DF,2014-09-18 0:00,75,86,left,high,medium,75,31,64,74,30,78,62,57,63,75,79,84,79,74,64,49,63,75,77,41,63,76,63,60,52,75,78,76,9,11,12,6,6
1308,Magnus Wolff Eikrem,MF,2010-02-22 0:00,68,77,right,medium,medium,50,40,44,77,65,70,45,74,76,77,70,66,67,65,45,76,53,70,47,56,50,57,59,78,65,32,54,46,1,25,76,25,25
1348,Mame Biram Diouf,FW,2010-02-22 0:00,77,84,right,medium,medium,65,77,78,62,76,77,31,35,34,78,87,83,75,78,74,78,80,76,76,73,63,75,77,66,77,21,21,12,1,21,34,21,21
1372,Manucho,FW,2007-02-22 0:00,72,80,left,medium,low,49,75,83,53,68,66,63,53,42,65,72,78,73,68,75,72,80,70,81,77,77,46,59,50,65,21,27,15,3,21,42,21,21
1392,Marcos Rojo,DF,2014-09-18 0:00,79,82,left,medium,medium,74,51,81,65,48,64,52,56,79,65,73,76,73,73,62,78,86,78,83,62,85,78,54,55,63,77,81,78,6,7,11,14,9
1410,Marcus Rashford,FW,2016-03-03 0:00,65,82,right,medium,medium,43,69,63,53,48,71,53,65,44,63,83,81,77,58,68,64,70,58,57,55,44,30,69,61,74,22,20,20,11,6,15,7,14
1421,Marnick Vermijl,DF,2013-02-15 0:00,62,76,right,medium,high,49,28,56,52,27,49,39,34,38,53,78,76,61,64,64,38,62,63,57,22,78,62,33,31,49,59,71,66,12,10,9,11,6
1454,Marouane Fellaini,MF,2014-02-14 0:00,80,82,right,medium,medium,68,75,90,81,73,75,60,45,73,79,64,73,57,82,61,76,71,86,91,74,87,77,81,80,63,73,79,69,7,5,8,14,15
1473,Matteo Darmian,DF,2016-03-10 0:00,81,83,right,high,high,78,38,72,74,59,76,69,35,68,76,79,80,79,78,77,69,70,91,68,56,84,82,64,63,45,81,83,87,6,7,7,12,7
1531,Memphis Depay,FW,2016-01-14 0:00,81,88,right,high,low,68,74,55,74,70,86,85,90,65,83,91,90,82,83,86,88,75,79,77,82,62,21,78,75,66,24,31,20,8,14,6,12,10
1570,Michael Carrick,MF,2007-08-30 0:00,83,86,right,medium,high,81,67,70,91,67,67,64,78,89,83,74,77,58,85,78,79,72,86,76,82,69,81,88,86,90,78,81,79,9,21,89,21,21
1584,Michael Keane,DF,2012-08-31 0:00,57,68,right,medium,medium,31,23,62,53,29,44,31,24,48,54,63,56,46,44,56,33,73,58,55,42,49,56,22,39,47,56,64,57,15,6,7,13,10
1624,Michael Owen,FW,2009-08-30 0:00,79,87,right,medium,medium,66,82,81,74,80,78,71,65,47,82,87,83,79,89,81,76,74,69,57,59,56,80,91,74,84,31,28,10,15,22,47,22,22
1639,Mikael Silvestre,DF,2007-02-22 0:00,82,83,left,low,medium,70,35,86,69,57,67,66,80,71,75,69,76,59,77,77,67,80,84,78,61,83,69,70,67,80,81,83,81,5,10,71,6,6
1642,Morgan Schneiderlin,MF,2016-02-18 0:00,82,84,right,medium,high,65,64,65,82,56,73,68,61,81,79,69,59,66,82,66,71,72,90,78,56,85,86,67,73,56,77,84,82,6,11,12,14,7
1696,Nani,MF,2007-08-30 0:00,83,88,right,high,medium,76,70,58,76,75,92,80,54,67,84,86,86,88,73,76,71,51,81,59,72,53,67,71,81,73,32,31,32,5,23,67,23,23
1718,Nemanja Vidic,DF,2008-08-30 0:00,86,88,right,medium,high,40,38,93,68,41,42,43,48,70,69,74,75,52,76,84,60,92,79,92,35,93,81,84,63,79,84,90,85,10,23,70,23,23
1751,Owen Hargreaves,MF,2007-08-30 0:00,81,85,right,medium,high,72,47,69,85,59,70,79,73,74,82,82,88,63,82,75,74,69,93,71,70,76,83,90,82,85,88,82,77,6,23,74,23,23
1756,Patrice Evra,DF,2008-08-30 0:00,84,84,left,high,medium,79,52,74,77,53,83,77,51,85,80,93,92,84,89,80,74,86,93,74,50,82,78,79,76,73,79,85,91,13,20,85,20,20
1796,Patrick McNair,DF,2014-11-28 0:00,60,75,right,medium,high,40,35,56,55,42,54,48,35,57,61,56,62,56,64,73,41,59,44,67,39,42,59,38,46,42,63,65,58,13,7,10,7,13
1829,Paul Pogba,MF,2011-08-30 0:00,55,76,right,medium,medium,36,22,27,56,28,28,38,37,46,58,66,70,73,59,73,55,66,68,61,21,65,54,32,44,38,49,58,52,6,7,14,15,8
1866,Phil Bardsley,DF,2008-08-30 0:00,71,73,right,high,high,54,28,68,56,42,31,46,33,47,59,66,65,52,72,67,64,68,76,73,26,83,69,67,59,60,75,76,78,8,21,47,21,21
1891,Phil Jones,DF,2011-02-22 0:00,76,86,right,medium,high,62,43,73,76,41,54,37,34,75,70,65,70,57,77,72,74,81,75,79,61,76,74,53,64,27,78,78,76,9,7,5,15,10
1916,Radamel Falcao,FW,2015-01-09 0:00,87,87,right,high,medium,55,90,93,69,90,78,83,71,53,83,78,73,85,89,75,79,92,71,74,77,70,41,92,68,87,25,42,25,10,13,6,9,5
1954,Rafael,DF,2012-08-31 0:00,64,77,left,medium,low,51,70,51,67,61,67,79,79,62,69,62,78,72,76,79,68,50,40,61,74,45,28,60,65,73,39,49,51,16,9,16,8,13
1995,Ravel Morrison,MF,2011-02-22 0:00,64,77,left,medium,low,61,61,47,61,64,69,72,51,58,71,76,73,74,51,47,65,48,49,62,55,44,35,63,52,48,35,33,29,14,15,13,12,8
2021,Rio Ferdinand,DF,2007-08-30 0:00,88,89,right,medium,medium,45,39,89,71,51,60,51,27,65,78,78,80,52,82,80,59,87,80,88,29,84,83,84,69,92,89,91,87,8,22,65,22,22
2044,Robin van Persie,FW,2013-02-22 0:00,88,88,left,high,low,83,91,73,85,91,84,86,81,75,88,79,78,81,87,59,90,59,72,72,87,55,34,90,82,89,23,32,21,9,10,5,7,8
2062,Ron-Robert Zieler,GK,2009-02-22 0:00,61,80,right,medium,medium,21,21,21,21,11,21,5,8,52,21,52,44,34,63,68,22,74,43,55,21,33,16,15,22,21,21,23,25,70,55,52,51,65
2095,Ryan Giggs,MF,2007-08-30 0:00,86,89,left,medium,medium,90,79,84,86,81,85,87,85,80,87,82,81,81,80,72,77,63,80,64,74,62,88,90,90,87,36,46,45,10,21,80,21,21
2107,Ryan Shawcross,DF,2008-08-30 0:00,71,75,right,medium,high,28,22,77,55,34,27,33,22,44,59,55,62,64,68,77,39,81,72,69,34,68,68,72,41,65,72,74,79,10,22,44,22,22
2137,Ryan Tunnicliffe,MF,2011-08-30 0:00,61,73,right,medium,medium,56,50,48,68,48,51,38,44,62,65,68,70,58,61,62,68,59,71,67,59,74,47,45,65,55,57,69,68,7,12,12,11,6
2162,Saidy Janko,DF,2015-02-20 0:00,64,76,right,high,medium,59,51,57,60,34,67,42,36,45,65,85,83,61,65,59,72,58,74,71,59,65,63,52,45,52,58,64,63,5,9,7,13,7
2172,Sergio Romero,GK,2015-09-21 0:00,76,76,right,medium,medium,11,14,12,38,17,12,12,13,36,25,44,42,52,79,44,14,63,35,75,11,33,21,11,42,16,14,11,15,76,67,81,73,82
2193,Shinji Kagawa,MF,2013-02-15 0:00,83,86,right,high,medium,59,74,51,83,74,88,78,64,73,87,90,79,93,84,91,62,63,88,38,72,25,56,83,81,70,14,15,21,11,9,8,9,13
2224,Timothy Fosu-Mensah,DF,2016-04-28 0:00,66,83,right,medium,medium,50,46,67,72,32,59,52,25,67,63,78,76,65,62,63,72,72,65,76,54,80,66,51,50,48,62,66,67,11,8,8,7,11
2255,Tom Cleverley,MF,2007-02-22 0:00,58,77,right,high,medium,56,44,32,64,67,60,58,50,56,66,79,75,75,59,72,57,61,68,44,69,59,39,47,73,38,28,36,52,5,22,56,22,22
2263,Tom Heaton,GK,2008-08-30 0:00,62,75,right,medium,medium,21,21,21,27,11,29,9,13,52,27,35,33,64,60,64,26,69,62,55,21,57,50,53,55,58,30,24,8,70,58,52,53,69
2289,Tom Lawrence,FW,2014-02-28 0:00,59,63,right,medium,medium,38,63,55,59,42,57,36,34,38,57,66,54,50,55,65,70,63,53,75,52,31,25,60,54,61,25,22,21,9,6,12,12,6
2314,Tomasz Kuszczak,GK,2007-02-22 0:00,76,77,right,medium,medium,35,54,35,35,15,35,12,60,72,36,61,63,52,71,55,35,69,68,60,23,62,58,61,63,60,23,35,8,79,71,72,76,82
2335,Tyler Blackett,DF,2015-02-06 0:00,65,73,left,medium,medium,64,23,63,71,33,46,64,64,63,64,67,76,47,65,38,55,64,64,75,57,71,63,32,37,44,59,64,61,14,10,14,7,13
2347,Wayne Rooney,FW,2007-08-30 0:00,90,91,right,high,high,77,90,67,87,89,88,81,85,72,92,88,85,80,89,89,91,79,90,92,89,96,78,83,88,86,28,42,41,11,21,72,21,21
2402,Wes Brown,DF,2008-08-30 0:00,80,80,right,medium,high,69,23,77,60,31,45,41,24,55,63,73,76,51,71,67,43,81,79,82,29,85,79,81,58,67,83,84,85,7,23,55,23,23
2409,Wilfried Zaha,MF,2013-02-15 0:00,73,84,right,medium,medium,67,72,49,60,50,82,52,50,53,81,85,86,81,70,79,67,50,78,65,59,61,34,71,59,65,37,29,38,14,9,14,10,9
2455,Zoran Tosic,MF,2009-08-30 0:00,75,84,left,high,low,77,67,51,74,68,78,76,81,66,81,80,77,78,58,68,80,64,71,48,76,37,67,70,75,74,20,20,12,7,20,66,20,20
